,RANK,COUNTRY,REGION,POWER INDEX,POPULATION,FIT FOR SERVICE,ACTIVE SERVICE,DEFENSE BUDGET,AIRCRAFT FLEET STRENGTH,TANK STRENGTH,NAVAL FLEET STRENGTH,LABOR FORCE,MERCHANT MARINE FLEET STRENGTH
0,2,Russia,ASIA,0.0714,142021981,46583210,830900,82600000000,4182,12566,598,70000000,2873
1,3,China,ASIA,0.0722,1410539758,624869113,2000000,2.3E+11,3284,4950,730,774710000,6662
2,4,India,ASIA,0.1025,1389637446,515555492,1450000,54200000000,2210,4614,295,523000000,1801
3,6,South Korea,ASIA,0.1505,51844834,21256382,555000,42100000000,1602,2331,157,27000000,1904
4,7,Pakistan,ASIA,0.1694,242923845,82594107,654000,7500000000,1413,3742,114,61710000,57
5,8,Japan,ASIA,0.1711,124214766,43226739,240000,39660000000,1451,1004,155,66540000,5201
6,11,Turkiye,ASIA,0.2016,83047706,35627466,425000,25200000000,1065,2229,154,25677000,1217
7,13,Indonesia,ASIA,0.2221,277329163,112872969,400000,8800000000,466,314,324,130000000,10427
8,17,Iran,ASIA,0.2712,86758304,40776403,575000,5550000000,541,4071,101,30500000,893
9,18,Israel,ASIA,0.2757,8914885,3111295,173000,24300000000,601,2200,67,4000000,41
10,19,Vietnam,ASIA,0.2855,103808319,44222344,470000,6237600000,223,1829,109,55000000,1926
11,22,Saudi Arabia,ASIA,0.3626,35354380,16899394,225000,46000000000,897,1273,57,14000000,392
12,23,Taiwan,ASIA,0.3639,23580712,1061132,170000,18310000000,737,1012,117,11500000,429
13,24,Thailand,ASIA,0.3738,69648117,27859247,350000,5860000000,488,587,292,40000000,839
14,29,Singapore,ASIA,0.4613,5921231,2581657,60000,13000000000,248,170,40,3778000,3321
15,32,Philippines,ASIA,0.4811,114597229,40452822,101000,4280000000,188,0,93,41533000,1805
16,34,North Korea,ASIA,0.5118,25955138,5242938,1200000,4500000000,947,6645,519,14000000,264
17,38,Myanmar,ASIA,0.5768,57526449,21975104,400000,2285700000,280,715,210,22300000,95
18,40,Bangladesh,ASIA,0.5871,165650475,64934986,165000,3890400000,204,281,112,66640000,468
19,42,Malaysia,ASIA,0.6189,33871431,13209858,85000,2593874880,147,48,82,15139000,1769
20,45,Iraq,ASIA,0.7365,40462701,13757318,200000,5701100000,361,923,63,9000000,68
21,56,United Arab Emirates,ASIA,0.8978,9915803,4888491,65000,25266000000,565,274,79,5344000,623
22,57,Azerbaijan,ASIA,0.9391,10353296,3799660,65000,3100000000,148,920,24,5000000,305
23,62,Uzbekistan,ASIA,1.0692,31104937,13592857,55000,692520000,197,420,0,13273000,0
24,63,Kazakhstan,ASIA,1.0873,19398331,6634229,45000,2618000000,237,300,15,8685000,119
25,64,Syria,ASIA,1.1095,21563800,11967909,100000,2020500000,453,2616,43,3767000,28
26,65,Qatar,ASIA,1.1296,2508182,481571,66550,5856000000,198,138,86,1953000,129
27,71,Sri Lanka,ASIA,1.2478,23187516,9019944,250000,1110000000,86,182,275,8000000,90
28,74,Yemen,ASIA,1.3985,30984689,8706698,45000,1010070000,177,100,35,7500000,34
29,76,Oman,ASIA,1.4081,3764348,1245999,40000,8396300000,128,121,22,2255000,57
30,78,Kuwait,ASIA,1.4441,3068155,1417488,17000,8172000000,114,367,123,2700000,165
31,79,Bahrain,ASIA,1.4511,1540588,708657,20000,1538800000,116,180,48,831600,205
32,81,Jordan,ASIA,1.5098,10998531,2936608,90000,1900000000,256,1588,27,731000,35
33,82,Turkmenistan,ASIA,1.5986,5636011,2203680,30000,407070000,86,680,30,2305000,73
34,85,Georgia,ASIA,1.7181,4935518,2240725,61200,286020000,66,243,44,700000,25
35,94,Armenia,ASIA,1.9137,3000756,1377347,45000,632500000,64,519,0,1507000,0
36,99,Mongolia,ASIA,2.0263,3227863,1526779,35000,91980000,11,470,0,1241000,302
37,106,Cambodia,ASIA,2.1321,16713015,5615573,100000,632250000,24,644,27,9000000,245
38,107,Kyrgyzstan,ASIA,2.1703,6071750,2446915,15000,116040000,6,215,0,2841000,0
39,111,Lebanon,ASIA,2.2381,5296814,1753245,80000,1001400000,78,361,86,2166000,48
40,114,Afghanistan,ASIA,2.3118,38346720,8436278,0,49525000,0,0,0,4240000,0
41,115,Laos,ASIA,2.3168,7749595,2456622,30000,38280000,34,130,39,3582000,1
42,120,Tajikistan,ASIA,2.6403,9119347,3310323,9500,90134000,25,37,0,2300000,0
43,129,Nepal,ASIA,2.8728,30666598,11561307,95000,437580000,15,0,0,17000000,0
44,145,Bhutan,ASIA,6.2017,867775,119753,8000,28908000,2,0,0,400000,0
